type,country,date_added,release_year,rating,duration,listed_in,Cluster
0,603,"September 25, 2021",2020,7,90,274,1
1,426,"September 24, 2021",2021,11,2,414,0
1,736,"September 24, 2021",2021,11,1,242,0
1,736,"September 24, 2021",2021,11,1,297,0
1,251,"September 24, 2021",2021,11,2,393,0
1,736,"September 24, 2021",2021,11,1,499,0
0,736,"September 24, 2021",2021,6,91,121,1
0,663,"September 24, 2021",1993,11,125,319,4
1,506,"September 24, 2021",2021,9,9,114,0
0,603,"September 24, 2021",2021,7,104,197,1
1,736,"September 24, 2021",2021,11,1,235,0
1,736,"September 23, 2021",2021,11,1,242,0
0,218,"September 23, 2021",2021,11,127,326,2
0,736,"September 22, 2021",2021,12,91,125,2
1,736,"September 22, 2021",2021,11,1,96,0
1,603,"September 22, 2021",2021,11,4,488,0
0,736,"September 22, 2021",2020,11,67,281,2
1,342,"September 22, 2021",2020,11,2,253,0
0,736,"September 22, 2021",2021,9,94,513,1
1,736,"September 22, 2021",2021,11,1,398,0
1,736,"September 22, 2021",2021,9,1,235,0
1,492,"September 22, 2021",2018,9,5,405,0
0,736,"September 21, 2021",1996,12,161,217,4
0,736,"September 21, 2021",2021,13,61,121,2
0,251,"September 21, 2021",1998,9,166,220,4
1,15,"September 21, 2021",2021,9,2,293,0
0,736,"September 21, 2021",1997,12,147,219,4
0,603,"September 20, 2021",2010,7,103,185,1
0,603,"September 19, 2021",2013,7,97,357,1
0,673,"September 19, 2021",2013,7,106,513,1
0,736,"September 17, 2021",2021,9,111,319,1
1,736,"September 17, 2021",2021,11,1,487,0
1,506,"September 17, 2021",2020,11,3,108,0
1,736,"September 17, 2021",2021,11,1,416,0
1,736,"September 17, 2021",2020,14,1,422,0
0,736,"September 17, 2021",2021,11,110,332,2
0,736,"September 17, 2021",2021,11,105,39,2
1,156,"September 16, 2021",2018,14,1,433,0
0,106,"September 16, 2021",2017,7,96,36,1
1,251,"September 16, 2021",2021,14,3,422,0
1,603,"September 16, 2021",2021,14,1,439,0
0,603,"September 16, 2021",1975,6,124,17,3
0,603,"September 16, 2021",1978,6,116,317,3
0,603,"September 16, 2021",1983,6,98,48,3
0,603,"September 16, 2021",1987,7,91,48,3
0,736,"September 16, 2021",2021,6,23,274,1
0,433,"September 16, 2021",2012,8,115,0,1
1,736,"September 16, 2021",2020,11,1,393,0
0,603,"September 16, 2021",2001,8,122,344,4
1,368,"September 15, 2021",2021,11,2,412,0
1,251,"September 15, 2021",2014,12,1,415,0
0,319,"September 15, 2021",2002,9,99,5,4
0,319,"September 15, 2021",2003,9,99,5,4
0,319,"September 15, 2021",2004,12,88,5,2
0,319,"September 15, 2021",2001,12,100,5,2
1,603,"September 15, 2021",2021,12,6,446,0
0,319,"September 15, 2021",2011,9,102,5,1
0,319,"September 15, 2021",2008,12,93,5,2
0,319,"September 15, 2021",2009,12,96,5,2
0,319,"September 15, 2021",2007,12,95,5,2
0,319,"September 15, 2021",2010,9,85,5,1
0,319,"September 15, 2021",2005,12,97,5,2
0,319,"September 15, 2021",2006,12,95,5,2
0,319,"September 15, 2021",2004,12,83,5,2
0,736,"September 15, 2021",2021,12,103,121,2
1,506,"September 15, 2021",2021,13,6,422,0
1,251,"September 15, 2021",2014,10,1,292,0
1,603,"September 15, 2021",1994,12,9,433,0
